uid,literate,attended_school,highest_school_lvl,preschool,now_enrolled,now_attending,past_enrolled,past_attending,now_not_attend_reason,now_not_enroll_reason,past_not_attend_reason,past_not_enroll_reason,finish_school_age,younger_19,public_private_school,school_transportation_time,school_transportation_vehicle,school_transportation_cost,school_expenses,poverty_score
728_9_1,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,4.0,12000.0,800000.0,6.0
760_2_4,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,330.0,1.0,,420000.0,3.0
130_1_2,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,60.0,5.0,100000.0,500000.0,6.0
169_2_4,True,1,8.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,1.0,,405000.0,8.0
756_11_4,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,5.0,1.0,,100000.0,6.0
246_4_1,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,1.0,,900000.0,3.0
748_5_2,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,40.0,5.0,100000.0,40000.0,5.0
771_3_2,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,240.0,4.0,40000.0,91000.0,6.0
702_3_1,True,1,10.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,150.0,5.0,12000.0,1000000.0,5.0
7_4_1,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,6.0,1.0,,660000.0,4.0
378_9_2,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,120.0,4.0,30000.0,105000.0,8.0
614_9_1,True,1,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,10.0,1.0,,60000.0,5.0
163_3_2,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,550000.0,5.0
172_8_2,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,500000.0,7.0
72_1_1,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,35.0,4.0,56000.0,4146000.0,7.0
686_8_4,True,1,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,205000.0,6.0
236_1_3,True,1,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,10.0,1.0,,0.0,2.0
383_7_5,False,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,6.0,1.0,,177000.0,1.0
766_12_3,True,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,5.0,15000.0,430000.0,6.0
196_5_3,True,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,60.0,5.0,25000.0,242000.0,3.0
233_10_5,True,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,12.0,1.0,,60000.0,4.0
550_8_3,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,1.0,,170000.0,3.0
678_7_3,True,1,1.0,0.0,2.0,,2.0,,,1.0,,1.0,15.0,1.0,,,,,,4.0
687_3_2,True,1,2.0,0.0,2.0,,2.0,,,12.0,,12.0,18.0,1.0,,,,,,5.0
134_4_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
385_7_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
198_9_3,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
701_1_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
267_9_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
272_9_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
362_1_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
346_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
372_10_4,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
281_3_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,8.0
512_5_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
61_6_4,True,1,6.0,2.0,2.0,,2.0,,,2.0,,2.0,22.0,2.0,,,,,,6.0
341_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
398_7_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
547_4_2,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,4.0
134_5_2,True,1,3.0,0.0,2.0,,2.0,,,2.0,,2.0,16.0,2.0,,,,,,3.0
345_9_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
394_1_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
730_11_3,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
802_3_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
75_6_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,3.0
280_6_1,True,1,1.0,0.0,2.0,,2.0,,,1.0,,2.0,14.0,2.0,,,,,,7.0
365_6_3,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
500_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
608_9_1,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
337_7_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,3.0
375_3_4,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,6.0
774_8_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,2.0
341_2_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
572_7_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
208_4_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,2.0
282_2_1,True,1,6.0,1.0,2.0,,2.0,,,2.0,,2.0,22.0,2.0,,,,,,8.0
254_7_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
281_4_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,7.0
361_4_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
130_16_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
240_3_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
265_8_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
437_2_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
573_2_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
618_5_1,False,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,10.0,2.0,,,,,,3.0
361_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
373_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
375_1_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
378_1_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
392_6_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
61_3_2,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,6.0
157_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,4.0
174_4_6,True,1,2.0,3.0,2.0,,2.0,,,2.0,,2.0,16.0,2.0,,,,,,4.0
779_3_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,6.0
333_4_1,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,11.0,2.0,,,,,,3.0
3_7_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
121_9_3,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
176_6_4,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
196_6_1,False,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
196_8_3,True,1,1.0,1.0,2.0,,2.0,,,10.0,,2.0,14.0,2.0,,,,,,4.0
332_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
424_3_1,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
628_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,1.0
377_8_3,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,5.0
547_9_2,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,3.0
168_5_2,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
176_1_1,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
278_4_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
375_6_3,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
632_11_1,True,1,2.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
695_7_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
364_7_2,True,1,6.0,3.0,2.0,,2.0,,,2.0,,2.0,22.0,2.0,,,,,,5.0
85_7_1,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
191_8_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
196_4_1,False,1,1.0,1.0,2.0,,2.0,,,4.0,,2.0,14.0,2.0,,,,,,5.0
248_9_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
264_6_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
280_2_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
362_8_2,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
364_1_1,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
389_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
421_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
785_6_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
363_1_2,True,1,2.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
436_7_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
654_2_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
775_4_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
785_5_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,7.0
242_3_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
370_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
385_11_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
396_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
502_4_1,True,1,1.0,0.0,1.0,2.0,2.0,,2.0,,,2.0,14.0,2.0,,,,,,3.0
588_4_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,1.0
615_8_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
830_9_1,True,1,1.0,0.0,1.0,2.0,2.0,,2.0,,,2.0,14.0,2.0,,,,,,5.0
365_7_2,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,5.0
136_5_2,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,17.0,2.0,,,,,,7.0
174_2_3,True,1,5.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,2.0
270_6_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
276_3_1,True,1,2.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
467_3_3,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
805_12_2,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
809_3_2,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
134_1_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
180_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
347_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
492_2_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,7.0
624_1_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
800_7_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
803_5_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
378_4_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,3.0
805_5_2,True,1,4.0,3.0,2.0,,2.0,,,2.0,,2.0,17.0,2.0,,,,,,6.0
44_10_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,2.0
48_7_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
255_8_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
395_8_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
435_9_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
477_4_3,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,4.0
361_9_1,True,1,6.0,0.0,2.0,,2.0,,,2.0,,2.0,22.0,2.0,,,,,,6.0
282_1_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,6.0
297_5_2,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
340_4_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
378_3_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
388_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
423_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
626_11_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
799_1_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
830_4_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
272_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,4.0
368_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,2.0
545_3_1,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,1.0
229_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,16.0,2.0,,,,,,3.0
2_4_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
133_6_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,2.0
135_4_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
262_12_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
467_8_4,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
502_7_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
523_2_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
626_1_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
688_6_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
722_6_2,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,6.0
62_9_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
175_1_2,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
183_6_2,False,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
191_3_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
272_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
624_4_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
99_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,5.0
49_7_1,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
265_2_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
375_9_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
394_7_1,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,2.0
545_7_1,True,1,2.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
102_4_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,19.0,2.0,,,,,,3.0
282_3_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,20.0,2.0,,,,,,8.0
283_6_1,True,1,6.0,0.0,2.0,,2.0,,,2.0,,2.0,24.0,2.0,,,,,,7.0
120_9_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
183_4_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
196_3_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
274_1_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
361_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
364_6_2,True,1,1.0,3.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
368_3_2,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
607_8_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
799_4_2,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
229_2_1,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,3.0
235_7_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,3.0
551_1_1,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,1.0
412_3_1,True,1,2.0,2.0,2.0,,2.0,,,12.0,,2.0,18.0,2.0,,,,,,7.0
443_9_1,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,7.0
799_5_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
176_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,10.0,2.0,,,,,,1.0
45_4_1,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
154_2_2,True,1,1.0,1.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
172_1_2,True,1,1.0,2.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
378_6_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,2.0
388_7_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,3.0
398_6_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,4.0
429_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,5.0
588_5_1,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,14.0,2.0,,,,,,1.0
802_4_2,True,1,1.0,0.0,2.0,,2.0,,,2.0,,2.0,15.0,2.0,,,,,,6.0
240_5_1,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
267_4_1,True,1,2.0,2.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,5.0
335_2_1,True,1,5.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,3.0
363_5_1,True,1,5.0,3.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
365_3_2,True,1,2.0,0.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
369_4_1,True,1,2.0,1.0,2.0,,2.0,,,2.0,,2.0,18.0,2.0,,,,,,4.0
