uid,highest_school_lvl,preschool,school_transportation_time,school_transportation_cost,school_expenses,not_attend_reason,school_type_1.0,school_type_3.0,transport_2.0,transport_4.0,transport_5.0,sex,age,time_away,lives_with_partner,lives_with_parent,parents_education,num_parents_alive
302_4_1,5,3.0,10.0,0.0,0.0,0,True,False,False,False,False,2,24,0,False,False,2.5,2
613_4_1,5,3.0,30.0,50000.0,230000.0,0,True,False,False,False,True,1,24,0,True,False,5.0,2
783_3_1,6,0.0,30.0,24000.0,1967000.0,0,True,False,False,False,True,1,24,0,False,False,3.0,1
695_3_1,5,2.0,40.0,200000.0,3300000.0,0,False,True,False,False,True,1,25,0,False,False,5.0,2
728_9_1,5,0.0,30.0,12000.0,800000.0,0,True,False,False,True,False,1,25,0,False,False,3.0,2
760_2_4,5,0.0,330.0,0.0,420000.0,0,True,False,False,False,False,1,27,0,False,True,2.145104895104895,0
130_1_2,5,0.0,60.0,100000.0,500000.0,0,True,False,False,False,True,2,30,0,False,False,3.0,2
169_2_4,6,2.0,30.0,0.0,405000.0,0,True,False,False,False,False,2,31,0,True,False,7.0,2
756_11_4,5,0.0,5.0,0.0,100000.0,0,True,False,False,False,False,2,31,0,True,False,3.0,2
246_4_1,5,0.0,15.0,0.0,900000.0,0,True,False,False,False,False,1,32,0,True,False,1.0,1
748_5_2,2,0.0,40.0,100000.0,40000.0,0,True,False,False,False,True,2,32,0,True,False,3.0,2
771_3_2,5,0.0,240.0,40000.0,91000.0,0,False,True,False,True,False,2,35,0,True,False,3.0,0
702_3_1,7,0.0,150.0,12000.0,1000000.0,0,True,False,False,False,True,1,36,0,True,False,5.0,2
7_4_1,5,0.0,6.0,0.0,660000.0,0,False,True,False,False,False,1,42,0,True,False,3.5,1
378_9_2,5,0.0,120.0,30000.0,105000.0,0,True,False,False,True,False,2,44,0,True,False,3.0,0
614_9_1,2,3.0,10.0,0.0,60000.0,0,True,False,False,False,False,2,44,0,False,False,2.0,2
163_3_2,5,3.0,20.0,0.0,550000.0,0,True,False,False,False,False,2,45,0,True,False,3.0,2
172_8_2,5,2.0,20.0,0.0,500000.0,0,True,False,False,False,False,2,45,0,True,False,3.0,2
72_1_1,5,0.0,35.0,56000.0,4146000.0,0,False,True,False,True,False,1,53,0,True,False,1.0,0
686_8_4,1,0.0,20.0,0.0,205000.0,0,True,False,False,False,False,1,15,0,False,True,2.145104895104895,0
236_1_3,1,0.0,10.0,0.0,0.0,0,True,False,False,False,False,2,16,0,False,True,2.145104895104895,0
383_7_5,2,1.0,6.0,0.0,177000.0,0,True,False,False,False,False,1,16,0,False,True,2.145104895104895,0
766_12_3,2,1.0,20.0,15000.0,430000.0,0,True,False,False,False,True,1,16,0,False,True,2.145104895104895,0
196_5_3,2,1.0,60.0,25000.0,242000.0,0,True,False,False,False,True,2,17,0,False,True,2.145104895104895,0
233_10_5,2,1.0,12.0,0.0,60000.0,0,True,False,False,False,False,2,18,0,False,True,2.145104895104895,0
550_8_3,2,0.0,30.0,0.0,170000.0,0,True,False,False,False,False,1,18,0,False,True,2.145104895104895,0
678_7_3,1,0.0,40.0,0.0,732169.0,3,False,False,False,False,False,2,19,0,False,True,2.145104895104895,0
687_3_2,2,0.0,40.0,0.0,732169.0,2,False,False,False,False,False,2,18,0,True,False,2.5,2
134_4_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,25,0,True,False,3.0,2
385_7_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,25,0,False,False,2.0,0
198_9_3,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,25,0,False,True,2.145104895104895,0
701_1_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,25,0,True,False,3.0,2
267_9_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,26,0,False,True,2.145104895104895,0
272_9_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,26,0,True,False,3.0,2
362_1_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,26,0,True,False,2.0,2
346_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,27,0,True,False,3.0,2
372_10_4,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,27,0,True,False,2.0,2
281_3_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,27,0,True,False,2.0,2
512_5_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,27,0,False,False,1.0,2
61_6_4,5,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,27,0,True,False,2.0,2
341_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,False,True,2.145104895104895,0
398_7_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,True,False,3.0,2
547_4_2,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,28,0,True,False,4.0,2
134_5_2,3,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,False,True,2.145104895104895,0
345_9_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,True,False,2.0,2
394_1_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,28,0,True,False,3.0,1
730_11_3,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,False,True,2.145104895104895,0
802_3_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,28,0,True,False,2.0,2
75_6_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,28,0,True,True,2.145104895104895,0
280_6_1,1,0.0,40.0,0.0,732169.0,3,False,False,False,False,False,1,29,0,True,False,1.5,2
365_6_3,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,True,2.145104895104895,0
500_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,1.5,0
608_9_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,1.0,2
337_7_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,2.0,2
375_3_4,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,29,0,True,False,2.0,2
774_8_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,29,0,True,False,3.5,1
341_2_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,6.0,2
572_7_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,29,0,True,False,2.0,2
208_4_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,3.5,2
282_2_1,5,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,29,0,True,False,3.0,2
254_7_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,0,True,False,10.0,2
281_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,0,True,False,2.0,2
361_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,0,True,False,3.0,2
130_16_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,30,0,True,False,4.5,2
240_3_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,1,True,True,2.145104895104895,0
265_8_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,0,True,False,3.5,2
437_2_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,0,True,False,3.0,2
573_2_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,30,6,True,False,1.0,2
618_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,31,0,False,True,2.145104895104895,0
361_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,31,0,True,False,3.0,1
373_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,31,0,True,True,2.145104895104895,0
375_1_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,31,0,True,False,3.0,2
378_1_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,31,0,True,False,1.5,2
392_6_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,31,0,True,False,4.0,2
61_3_2,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,31,0,True,False,3.0,2
157_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,31,5,True,False,3.0,2
174_4_6,2,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,31,0,True,False,3.0,2
779_3_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,31,0,True,True,2.145104895104895,0
333_4_1,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,3,True,False,2.0,2
3_7_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,True,False,4.0,0
121_9_3,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,True,2.145104895104895,0
176_6_4,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,True,False,2.0,0
196_6_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,3,True,False,2.0,2
196_8_3,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,True,2.145104895104895,0
332_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,False,2.0,2
424_3_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,True,2.145104895104895,0
628_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,False,1.5,2
377_8_3,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,False,False,2.0,2
547_9_2,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,True,False,2.0,2
168_5_2,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,True,False,4.0,2
176_1_1,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,False,5.0,2
278_4_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,False,3.0,2
375_6_3,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,False,True,2.145104895104895,0
632_11_1,2,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,32,0,True,False,2.0,2
695_7_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,2,False,False,5.0,0
364_7_2,5,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,32,0,True,False,2.5,2
85_7_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,True,2.145104895104895,0
191_8_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,33,0,True,False,3.0,2
196_4_1,1,1.0,40.0,0.0,732169.0,3,False,False,False,False,False,1,33,3,True,True,2.145104895104895,0
248_9_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,4.0,2
264_6_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,True,2.145104895104895,0
280_2_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,1.0,1
362_8_2,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,33,0,True,False,2.0,1
364_1_1,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,2.5,2
389_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,True,2.145104895104895,0
421_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,2.0,0
785_6_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,33,0,True,False,2.5,2
363_1_2,2,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,33,0,True,False,2.0,1
436_7_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,1.5,2
654_2_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,True,False,1.0,2
775_4_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,33,0,True,False,2.5,2
785_5_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,33,0,False,True,2.145104895104895,0
242_3_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,3.0,2
370_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,False,3.0,2
385_11_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,False,2.0,1
396_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,False,2.0,1
502_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,3,True,True,2.145104895104895,0
588_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,False,2.0,2
615_8_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,True,2.145104895104895,0
830_9_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,1,True,False,2.5,0
365_7_2,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,1.0,1
136_5_2,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,6.0,1
174_2_3,4,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,True,2.145104895104895,0
270_6_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,3.0,2
276_3_1,2,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,False,1.5,2
467_3_3,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,34,0,True,True,2.145104895104895,0
805_12_2,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,5.0,1
809_3_2,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,34,0,True,False,4.0,2
134_1_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,35,0,True,False,2.0,1
180_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,35,0,True,False,2.0,1
347_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,1.0,2
492_2_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,1.0,1
624_1_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,3.0,1
800_7_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,True,2.145104895104895,0
803_5_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,2.0,2
378_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,1.0,0
805_5_2,4,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,35,0,True,False,5.0,2
44_10_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,3.0,2
48_7_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,3.0,1
255_8_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,6.0,2
395_8_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,3.0,2
435_9_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,2.0,1
477_4_3,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,True,2.145104895104895,0
361_9_1,5,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,35,0,True,False,3.0,2
282_1_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,2.0,2
297_5_2,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,3.0,2
340_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,3.0,2
378_3_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,2.0,1
388_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,2.5,2
423_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,2.0,1
626_11_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,1.0,2
799_1_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,1.5,1
830_4_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,2.5,2
272_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,2.0,1
368_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,2.0,2
545_3_1,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,3.0,2
229_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,True,2.145104895104895,0
2_4_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,3.0,2
133_6_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,3.0,1
135_4_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,1.0,2
262_12_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,3.0,2
467_8_4,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,2.5,1
502_7_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,6,True,False,2.0,2
523_2_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,3,True,True,2.145104895104895,0
626_1_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,36,0,True,False,2.0,2
688_6_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,True,False,10.0,1
722_6_2,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,36,0,False,True,2.145104895104895,1
62_9_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,37,0,True,False,1.0,2
175_1_2,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,37,0,True,False,3.0,2
183_6_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,37,0,True,False,1.0,1
191_3_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,True,2.145104895104895,0
272_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,1.0,1
624_4_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,37,0,True,False,3.0,2
99_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,2.0,2
49_7_1,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,37,0,False,False,3.0,2
265_2_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,3.0,1
375_9_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,2.5,1
394_7_1,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,3.0,1
545_7_1,2,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,5.0,2
102_4_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,1,True,False,2.5,2
282_3_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,2.0,2
283_6_1,5,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,37,0,True,False,2.0,1
120_9_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,True,2.145104895104895,0
183_4_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,38,0,True,False,1.0,2
196_3_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,2.0,1
274_1_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,3.0,2
361_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,3.0,1
364_6_2,1,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,38,0,True,False,3.5,1
368_3_2,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,38,0,True,False,3.0,2
607_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,10.0,1
799_4_2,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,38,0,True,False,2.0,1
229_2_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,38,0,False,False,1.0,2
235_7_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,1.0,2
551_1_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,3.0,2
412_3_1,2,2.0,40.0,0.0,732169.0,2,False,False,False,False,False,1,38,0,True,False,2.0,1
443_9_1,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,True,2.145104895104895,0
799_5_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,38,0,True,False,2.0,2
176_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,3.0,2
45_4_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,True,2.145104895104895,0
154_2_2,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,2.5,0
172_1_2,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,3.0,2
378_6_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,1.5,1
388_7_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,3.0,2
398_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,False,False,2.0,1
429_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,2.0,1
588_5_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,2.0,2
802_4_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,1.5,2
240_5_1,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,1,True,False,5.5,2
267_4_1,2,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,True,2.145104895104895,0
335_2_1,4,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,True,2.145104895104895,0
363_5_1,4,3.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,2.0,0
365_3_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,1.5,0
369_4_1,2,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,True,False,2.0,2
571_6_2,2,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,True,False,1.0,0
440_1_1,5,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,39,0,False,True,2.145104895104895,0
813_5_1,5,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,39,0,False,False,3.5,2
44_6_1,1,2.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,False,3.0,2
46_1_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,False,2.0,1
176_2_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,40,0,True,False,6.0,0
282_6_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,False,2.0,2
371_4_1,1,1.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,True,2.145104895104895,0
422_4_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,3,True,False,2.0,1
424_9_2,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,2,40,0,True,False,2.0,1
434_8_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,False,1.0,0
442_2_1,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,True,True,2.145104895104895,0
554_3_3,1,0.0,40.0,0.0,732169.0,1,False,False,False,False,False,1,40,0,False,True,2.145104895104895,0
