uid,poverty_score,sex,family_role,age,marital_status,spouse_lives,time_away,lives_with_mom,moms_education,mom_alive,lives_with_dad,dad_education,dad_alive
71_6_1,5.0,1,1,54,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
71_7_1,5.0,1,1,62,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
71_8_1,2.0,1,1,46,1.0,1.0,7,2,1.0,1.0,2,1.0,2.0
72_1_1,7.0,1,1,53,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
72_3_1,4.0,1,1,62,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
72_4_1,4.0,1,1,38,1.0,1.0,0,2,1.0,2.0,1,,
72_5_1,7.0,1,1,59,1.0,1.0,2,2,1.0,2.0,2,1.0,2.0
72_6_1,3.0,1,1,57,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
75_6_1,3.0,1,1,28,3.0,1.0,0,1,,,2,2.0,2.0
77_6_1,3.0,1,1,56,1.0,1.0,0,2,2.0,2.0,2,3.0,1.0
78_5_1,6.0,1,1,74,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
83_1_1,4.0,1,1,68,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
83_3_1,5.0,1,1,46,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
85_1_1,4.0,1,1,60,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
85_3_1,5.0,1,1,57,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
85_5_1,2.0,1,1,51,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
85_6_1,3.0,1,1,44,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
85_7_1,4.0,1,1,33,1.0,1.0,0,1,,,2,3.0,2.0
85_8_1,6.0,1,1,52,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
86_1_1,4.0,1,1,61,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
86_2_1,4.0,1,1,55,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
86_3_1,6.0,1,1,44,1.0,1.0,0,1,,,2,3.0,2.0
86_4_1,5.0,1,1,44,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
86_5_1,4.0,1,1,55,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
86_6_1,5.0,1,1,46,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
86_7_1,4.0,1,1,73,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
86_8_1,3.0,1,1,62,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
99_3_1,5.0,1,1,37,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
102_2_1,5.0,1,1,40,1.0,1.0,2,1,,,2,1.0,2.0
102_3_1,5.0,1,1,45,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
102_4_1,3.0,1,1,37,1.0,1.0,1,2,3.0,1.0,2,2.0,1.0
102_5_1,3.0,2,1,59,4.0,,0,2,2.0,2.0,2,2.0,2.0
102_6_1,5.0,1,1,52,1.0,1.0,0,2,2.0,2.0,2,3.0,2.0
103_5_1,2.0,1,1,47,4.0,,3,2,3.0,1.0,2,3.0,1.0
106_1_1,1.0,1,1,72,1.0,1.0,0,2,10.0,2.0,2,10.0,2.0
106_3_1,5.0,1,1,44,1.0,1.0,0,2,10.0,1.0,2,10.0,2.0
106_7_1,3.0,1,1,57,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
106_11_1,2.0,1,1,56,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
107_6_1,3.0,1,1,45,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
120_9_1,5.0,1,1,38,1.0,1.0,0,1,,,2,5.0,2.0
121_9_3,4.0,1,4,32,1.0,1.0,0,1,,,1,,
122_1_1,4.0,2,1,67,4.0,,2,2,1.0,2.0,2,1.0,2.0
123_2_1,5.0,1,1,36,1.0,1.0,0,2,2.0,1.0,2,1.0,1.0
123_8_1,7.0,1,1,56,1.0,1.0,0,1,,,2,2.0,2.0
123_11_2,4.0,2,2,60,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
123_12_1,4.0,1,1,43,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
125_9_1,6.0,1,1,57,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
130_1_2,6.0,2,2,30,1.0,2.0,0,2,3.0,1.0,2,3.0,1.0
130_2_1,5.0,1,1,60,1.0,1.0,0,2,3.0,2.0,2,7.0,2.0
130_5_2,6.0,2,2,53,1.0,1.0,0,2,2.0,1.0,2,4.0,1.0
130_7_2,7.0,2,2,48,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
130_10_1,7.0,2,1,67,4.0,,0,2,3.0,2.0,2,5.0,2.0
130_11_2,3.0,2,2,71,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
130_16_2,5.0,2,2,30,1.0,1.0,0,2,4.0,1.0,2,5.0,1.0
131_2_2,4.0,2,2,61,1.0,1.0,2,2,1.0,2.0,2,2.0,2.0
131_3_2,4.0,2,2,43,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
131_5_1,6.0,2,1,64,4.0,,0,2,1.0,2.0,2,2.0,2.0
131_10_2,4.0,2,2,65,1.0,1.0,0,2,3.0,2.0,2,9.0,2.0
131_11_2,2.0,2,2,69,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
132_2_2,4.0,2,2,49,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
132_3_2,6.0,2,2,46,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
132_4_1,2.0,2,1,75,4.0,,0,2,2.0,2.0,2,2.0,2.0
132_6_3,3.0,1,4,20,5.0,,0,1,,,1,,
132_7_2,4.0,2,2,61,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
132_8_2,6.0,2,2,48,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
132_9_2,2.0,2,2,57,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
133_1_2,3.0,2,2,63,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
133_2_2,3.0,2,2,53,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
133_3_2,2.0,2,2,42,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
133_6_2,2.0,2,2,36,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
134_1_2,3.0,2,2,35,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
134_4_2,3.0,2,2,25,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
134_5_2,3.0,1,4,28,5.0,,0,1,,,2,5.0,2.0
134_7_2,1.0,2,2,53,1.0,1.0,0,1,,,2,2.0,2.0
134_8_2,4.0,2,2,41,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
135_1_2,2.0,2,2,67,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
135_2_2,6.0,2,2,45,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
135_4_2,3.0,2,2,36,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
135_9_2,2.0,2,2,43,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
135_12_2,3.0,2,2,63,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
136_1_1,2.0,1,1,64,1.0,1.0,0,2,10.0,2.0,2,2.0,2.0
136_5_2,7.0,2,2,34,1.0,1.0,0,2,10.0,2.0,2,2.0,1.0
136_8_1,1.0,1,1,30,1.0,1.0,5,2,3.0,1.0,2,3.0,1.0
136_10_1,3.0,1,1,67,4.0,,0,2,1.0,2.0,2,2.0,2.0
137_9_1,6.0,1,1,35,1.0,1.0,0,1,,,2,2.0,2.0
141_9_1,6.0,1,1,52,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
143_10_2,1.0,2,2,44,1.0,1.0,0,2,2.0,2.0,2,2.0,1.0
144_5_2,7.0,2,2,24,1.0,1.0,0,2,4.0,1.0,2,5.0,1.0
147_8_1,5.0,1,1,67,1.0,1.0,1,2,1.0,2.0,2,2.0,2.0
148_1_1,3.0,2,1,36,1.0,2.0,1,2,3.0,1.0,2,2.0,1.0
148_3_2,3.0,2,2,43,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
148_4_3,2.0,2,9,38,1.0,1.0,0,2,3.0,1.0,2,2.0,1.0
149_3_1,3.0,1,1,71,5.0,,0,2,10.0,1.0,2,2.0,2.0
149_5_3,5.0,2,4,26,5.0,,0,1,,,1,,
154_1_3,4.0,2,9,46,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
154_2_2,4.0,2,2,39,1.0,1.0,0,2,3.0,2.0,2,2.0,2.0
154_3_1,3.0,1,1,71,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
154_4_2,3.0,2,2,50,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
154_5_1,4.0,1,1,56,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
156_3_4,5.0,1,4,20,5.0,,0,1,,,1,,
157_5_1,4.0,1,1,31,1.0,1.0,5,2,3.0,1.0,2,3.0,1.0
161_1_1,4.0,1,1,35,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
163_3_2,5.0,2,2,45,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
165_4_1,3.0,1,1,82,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
165_8_2,4.0,2,2,54,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
167_7_3,6.0,2,4,20,5.0,,0,1,,,1,,
168_1_2,7.0,2,2,59,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
168_2_2,7.0,2,2,59,1.0,1.0,9,2,1.0,2.0,2,1.0,2.0
168_3_1,6.0,2,1,65,2.0,2.0,0,2,2.0,2.0,2,2.0,2.0
168_5_2,5.0,2,2,32,1.0,1.0,0,2,3.0,1.0,2,5.0,1.0
168_6_2,6.0,2,2,47,1.0,1.0,0,2,8.0,1.0,2,3.0,1.0
168_7_1,7.0,1,1,65,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
168_10_2,7.0,2,2,50,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
169_2_4,8.0,2,9,31,1.0,1.0,0,2,5.0,1.0,2,9.0,1.0
169_4_2,7.0,2,2,47,1.0,1.0,0,2,5.0,1.0,2,8.0,1.0
169_6_1,6.0,1,1,58,4.0,,0,2,2.0,2.0,2,3.0,2.0
169_7_4,7.0,1,4,22,5.0,,0,1,,,1,,
169_9_2,7.0,2,2,51,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
169_10_1,6.0,1,1,70,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
170_1_2,7.0,2,2,47,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
170_4_1,8.0,1,1,61,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
170_5_1,6.0,1,1,72,4.0,,0,2,1.0,2.0,2,1.0,2.0
170_6_1,5.0,2,1,65,2.0,2.0,0,2,3.0,2.0,2,9.0,2.0
170_9_3,5.0,2,4,25,5.0,,0,1,,,2,3.0,2.0
171_1_4,7.0,2,4,21,5.0,,0,2,9.0,2.0,1,,
171_3_1,7.0,2,1,70,4.0,,0,2,1.0,2.0,2,1.0,2.0
171_7_1,7.0,2,1,43,5.0,,0,2,3.0,2.0,2,3.0,2.0
171_9_2,6.0,2,2,55,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
171_10_1,7.0,2,1,72,4.0,,0,2,3.0,2.0,2,3.0,2.0
172_1_2,5.0,2,2,39,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
172_3_2,5.0,2,2,46,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
172_4_1,6.0,1,1,23,5.0,,6,2,5.0,1.0,2,5.0,1.0
172_5_2,6.0,2,2,44,1.0,1.0,0,2,3.0,1.0,2,5.0,2.0
172_6_2,6.0,2,2,47,1.0,1.0,0,2,2.0,1.0,2,3.0,2.0
172_7_1,7.0,1,1,68,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
172_8_2,7.0,2,2,45,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
173_1_2,6.0,2,2,42,1.0,1.0,0,2,1.0,1.0,2,3.0,1.0
173_2_1,7.0,2,1,80,4.0,,0,2,1.0,2.0,2,2.0,2.0
173_3_2,6.0,1,4,56,5.0,,0,1,,,2,3.0,2.0
173_4_1,7.0,1,1,50,2.0,2.0,0,1,,,1,,
173_6_2,7.0,2,2,45,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
173_7_2,6.0,2,2,43,1.0,1.0,0,2,4.0,1.0,2,9.0,2.0
173_11_1,7.0,1,1,60,1.0,1.0,0,2,3.0,2.0,2,2.0,2.0
174_2_3,2.0,2,4,34,1.0,1.0,0,1,,,2,7.0,2.0
174_4_6,4.0,2,9,31,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
174_6_1,7.0,1,1,71,1.0,1.0,2,2,1.0,2.0,2,5.0,2.0
174_8_2,5.0,2,2,36,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
175_1_2,4.0,2,2,37,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
175_2_1,1.0,2,1,72,4.0,,0,2,1.0,2.0,2,1.0,2.0
175_4_2,5.0,2,2,55,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
175_5_1,1.0,1,1,58,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
175_7_4,5.0,2,9,20,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
175_9_2,3.0,2,2,73,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
176_1_1,5.0,1,1,32,1.0,1.0,0,2,5.0,1.0,2,5.0,1.0
176_2_2,1.0,2,1,40,1.0,1.0,0,2,5.0,2.0,2,7.0,2.0
176_5_1,1.0,1,1,39,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
176_6_4,4.0,2,9,32,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
176_7_1,3.0,2,1,59,4.0,,0,2,1.0,2.0,2,1.0,2.0
176_8_3,7.0,2,9,44,1.0,1.0,0,2,2.0,1.0,2,7.0,1.0
177_12_4,5.0,2,4,47,1.0,1.0,0,1,,,1,,
180_1_2,3.0,2,2,62,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
180_2_2,4.0,2,2,44,1.0,1.0,0,2,3.0,1.0,2,2.0,2.0
180_5_1,5.0,2,1,47,1.0,1.0,0,2,2.0,2.0,2,2.0,1.0
180_6_1,5.0,2,1,35,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
180_7_2,4.0,2,2,41,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
180_8_1,1.0,1,1,45,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
182_4_1,1.0,1,1,43,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
182_6_1,1.0,1,1,42,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
182_7_1,5.0,1,1,51,2.0,1.0,0,2,1.0,1.0,2,1.0,2.0
183_1_1,7.0,1,1,64,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
183_2_1,5.0,1,1,57,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
183_3_2,7.0,2,2,44,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
183_4_2,5.0,2,2,38,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
183_6_2,3.0,2,2,37,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
183_7_1,5.0,1,1,53,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
183_8_2,5.0,1,4,43,1.0,1.0,0,1,,,2,1.0,2.0
186_1_2,3.0,2,2,59,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
186_4_2,5.0,2,2,49,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
186_8_1,3.0,2,1,53,4.0,,0,2,3.0,2.0,2,2.0,2.0
187_8_2,3.0,2,2,24,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
191_3_2,3.0,1,4,37,1.0,1.0,0,1,,,2,1.0,2.0
191_7_2,2.0,2,2,71,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
191_8_2,2.0,2,1,33,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
191_9_2,3.0,2,2,42,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
192_4_2,5.0,2,2,38,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
195_3_2,4.0,2,2,33,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
195_9_1,5.0,1,1,62,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
196_1_1,5.0,1,1,66,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
196_2_1,5.0,1,1,52,1.0,1.0,0,1,,,2,2.0,2.0
196_3_1,5.0,1,1,38,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
196_4_1,5.0,1,1,33,1.0,1.0,3,1,,,2,1.0,2.0
196_5_3,3.0,2,4,17,5.0,,0,1,,,1,,
196_6_1,4.0,1,1,32,1.0,1.0,3,2,2.0,1.0,2,2.0,1.0
196_8_3,4.0,1,4,32,1.0,1.0,0,1,,,1,,
197_2_1,3.0,1,1,55,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
197_5_1,4.0,1,1,47,1.0,1.0,2,1,,,2,1.0,2.0
198_1_2,7.0,2,2,45,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
198_2_3,5.0,1,4,20,5.0,,0,1,,,1,,
198_3_2,4.0,2,2,47,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
198_4_3,5.0,1,4,24,5.0,,0,1,,,1,,
198_5_1,5.0,1,1,69,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
198_8_2,7.0,2,2,56,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
198_9_3,5.0,1,4,25,5.0,,0,1,,,1,,
203_5_1,6.0,1,1,40,5.0,,0,2,2.0,1.0,2,1.0,2.0
205_7_1,4.0,1,1,73,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
