psu,hh,idcode,Self_id,gender,family_role_group,age,age_group,marital_status,family_size_group,kids_group,structure_group,time_away,away_group,live_with_mother,mother_education,mother_education_group,mother_alive,mother_death_age,mother_current_age,live_with_father,father_education,father_education_group,father_alive,father_death_age,father_current_age,read,write,read_write,education,education_group,preschool,preschool_group,enrollment_grouping,last_schoolyear_age,under_19,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10,Self_Rank
452,1,1,452_1_1,1,1,79,8,1,5,2,3,0,1,2,2,2,2,83,0,2,2,2,2,27,0,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
579,2,1,579_2_1,1,1,62,7,1,2,1,1,0,1,2,2,2,2,80,0,2,2,2,2,78,0,1,1,1,2,1,0,1,2,14,2,1,0,0,0,0,0,0,0,0,0,1
223,7,1,223_7_1,1,1,45,5,1,3,2,3,0,1,2,1,1,2,60,0,2,2,2,2,78,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,0,0,1,0,0,0,7
689,7,1,689_7_1,1,1,33,3,1,5,3,4,0,1,2,3,2,1,0,57,2,3,2,1,0,60,1,1,1,3,2,0,1,2,18,2,0,0,0,0,0,0,0,1,0,0,8
797,5,1,797_5_1,2,1,55,6,5,3,1,1,0,1,2,1,1,2,77,0,2,2,2,2,60,0,1,1,1,2,1,0,1,1,14,2,0,1,0,0,0,0,0,0,0,0,2
86,2,1,86_2_1,1,1,55,6,1,4,1,1,0,1,2,3,2,2,73,0,2,3,2,2,71,0,1,1,1,2,1,0,1,2,15,2,0,0,0,1,0,0,0,0,0,0,4
203,3,1,203_3_1,1,1,61,7,1,3,1,1,0,1,2,1,1,1,0,83,2,1,1,2,74,0,1,1,1,4,2,0,1,1,16,2,0,0,0,0,1,0,0,0,0,0,5
55,4,1,55_4_1,1,1,46,5,1,3,2,3,0,1,2,1,1,2,77,0,2,2,2,1,0,73,1,1,1,9,4,2,2,1,22,2,0,0,0,0,1,0,0,0,0,0,5
575,5,1,575_5_1,1,1,82,8,5,1,1,5,0,1,2,10,4,2,72,0,2,10,4,2,77,0,3,3,2,1,1,0,1,2,10,2,0,0,0,0,0,0,1,0,0,0,7
731,7,1,731_7_1,1,1,75,7,1,3,1,4,0,1,2,2,2,2,80,0,2,2,2,2,81,0,1,1,1,2,1,0,1,2,14,2,0,0,0,0,0,0,1,0,0,0,7
482,3,1,482_3_1,1,1,42,5,1,5,3,4,0,1,2,2,2,1,0,78,2,2,2,2,76,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,0,0,0,1,0,0,8
751,9,1,751_9_1,1,1,72,7,1,2,1,3,0,1,2,2,2,2,76,0,2,2,2,2,80,0,1,1,1,2,1,1,2,1,13,2,0,0,0,1,0,0,0,0,0,0,4
147,8,1,147_8_1,1,1,67,7,1,2,1,1,1,2,2,1,1,2,86,0,2,2,2,2,90,0,1,1,1,1,1,0,1,2,13,2,0,0,0,0,1,0,0,0,0,0,5
477,8,1,477_8_1,2,1,56,6,6,1,1,1,0,1,2,2,2,1,0,79,2,2,2,1,0,82,1,1,1,3,2,0,1,2,21,2,0,0,0,0,1,0,0,0,0,0,5
262,1,1,262_1_1,1,1,66,7,1,2,1,1,0,1,2,3,2,2,66,0,2,2,2,2,68,0,1,1,1,3,2,0,1,2,18,2,0,0,0,0,0,0,1,0,0,0,7
599,1,1,599_1_1,1,1,41,5,1,5,3,4,0,1,2,3,2,1,0,75,2,3,2,2,68,0,1,1,1,2,1,3,2,2,15,2,0,0,0,0,0,0,1,0,0,0,7
773,4,2,773_4_2,2,2,44,5,1,5,3,4,0,1,2,3,2,1,0,68,2,2,2,1,0,74,1,1,1,4,2,0,1,2,16,2,0,1,0,0,0,0,0,0,0,0,2
409,2,1,409_2_1,1,1,58,6,1,3,1,1,0,1,2,1,1,2,61,0,2,1,1,2,72,0,1,1,1,2,1,0,1,1,14,2,0,0,0,1,0,0,0,0,0,0,4
311,5,1,311_5_1,2,1,70,7,5,1,1,1,0,1,2,3,2,2,80,0,2,2,2,2,78,0,1,1,1,3,2,1,2,1,18,2,0,0,0,0,1,0,0,0,0,0,5
386,7,1,386_7_1,1,1,48,5,1,4,2,3,2,2,2,2,2,2,75,0,2,2,2,2,70,0,1,1,1,2,1,0,1,1,14,2,0,1,0,0,0,0,0,0,0,0,2
62,4,2,62_4_2,2,2,75,7,1,2,1,5,0,1,2,1,1,2,80,0,2,1,1,2,73,0,1,1,1,2,1,0,1,2,14,2,0,0,0,0,0,0,1,0,0,0,7
262,6,1,262_6_1,1,1,43,5,1,2,1,1,0,1,2,3,2,2,64,0,2,2,2,2,65,0,1,1,1,9,4,0,1,2,22,2,0,0,0,0,0,0,0,1,0,0,8
507,4,1,507_4_1,1,1,46,5,1,4,2,3,0,1,2,3,2,1,0,72,2,3,2,2,80,0,1,1,1,3,2,0,1,1,18,2,0,0,0,1,0,0,0,0,0,0,4
377,4,1,377_4_1,1,1,63,7,1,7,2,2,0,1,2,1,1,2,64,0,2,1,1,2,76,0,1,1,1,2,1,0,1,2,14,2,0,0,1,0,0,0,0,0,0,0,3
305,1,1,305_1_1,1,1,42,5,1,4,2,3,0,1,2,3,2,1,0,62,2,3,2,1,0,70,1,1,1,9,4,2,2,1,22,2,0,0,0,0,1,0,0,0,0,0,5
398,8,1,398_8_1,1,1,68,7,1,3,2,3,0,1,2,3,2,2,72,0,2,3,2,2,54,0,1,1,1,2,1,0,1,2,13,2,0,0,0,0,0,1,0,0,0,0,6
322,5,1,322_5_1,1,1,62,7,1,5,2,2,0,1,2,1,1,2,87,0,2,1,1,2,84,0,2,1,2,2,1,2,2,2,14,2,0,0,0,0,1,0,0,0,0,0,5
161,2,2,161_2_2,1,3,22,1,6,2,1,1,0,1,1,5,3,1,0,59,2,4,2,1,0,59,1,1,1,2,1,3,2,1,14,2,0,1,0,0,0,0,0,0,0,0,2
361,5,1,361_5_1,1,1,38,4,1,6,4,4,0,1,2,3,2,1,0,73,2,3,2,2,51,0,1,1,1,2,1,0,1,2,14,2,0,0,0,1,0,0,0,0,0,0,4
390,4,1,390_4_1,1,1,37,4,1,4,2,3,0,1,2,2,2,2,54,0,2,2,2,2,73,0,1,1,1,2,1,1,2,1,14,2,0,1,0,0,0,0,0,0,0,0,2
640,7,2,640_7_2,2,2,55,6,1,5,2,2,0,1,2,2,2,2,65,0,2,2,2,1,0,82,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
480,3,1,480_3_1,1,1,52,6,1,5,2,3,0,1,2,1,1,2,85,0,2,2,2,2,72,0,1,1,1,2,1,1,2,1,14,2,0,0,0,0,0,1,0,0,0,0,6
28,2,1,28_2_1,1,1,53,6,1,4,2,3,0,1,2,1,1,2,63,0,1,1,1,1,0,86,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
69,1,1,69_1_1,1,1,31,3,1,4,2,3,1,2,2,1,1,1,0,50,2,1,1,2,30,0,1,1,1,1,1,0,1,2,11,2,0,1,0,0,0,0,0,0,0,0,2
197,2,1,197_2_1,1,1,55,6,1,4,2,3,0,1,2,1,1,2,82,0,2,1,1,2,83,0,1,1,1,3,2,0,1,2,18,2,0,0,1,0,0,0,0,0,0,0,3
750,9,2,750_9_2,2,2,42,5,1,5,2,2,0,1,2,2,2,1,0,72,2,3,2,1,0,82,1,1,1,3,2,2,2,1,18,2,0,0,1,0,0,0,0,0,0,0,3
367,3,1,367_3_1,1,1,62,7,1,5,2,2,0,1,2,2,2,2,70,0,2,2,2,1,0,75,1,1,1,1,1,0,1,2,11,2,0,1,0,0,0,0,0,0,0,0,2
329,6,1,329_6_1,1,1,52,6,1,6,2,3,0,1,2,1,1,2,65,0,2,2,2,2,66,0,1,1,1,2,1,0,1,2,14,2,0,0,1,0,0,0,0,0,0,0,3
829,1,2,829_1_2,2,2,75,7,1,6,3,4,0,1,2,1,1,2,70,0,2,1,1,2,56,0,1,1,1,2,1,0,1,2,14,2,0,0,0,0,1,0,0,0,0,0,5
710,12,1,710_12_1,1,1,25,2,6,4,1,1,0,1,1,5,3,1,0,56,1,5,3,1,0,61,1,1,1,7,4,2,2,1,21,2,0,0,0,0,0,1,0,0,0,0,6
517,3,1,517_3_1,1,1,63,7,1,6,3,3,0,1,2,3,2,2,80,0,2,3,2,2,80,0,1,1,1,10,4,0,1,1,25,2,0,0,0,0,0,0,1,0,0,0,7
378,4,1,378_4_1,1,1,35,3,1,3,2,3,0,1,2,1,1,2,50,0,2,1,1,2,54,0,1,1,1,2,1,0,1,2,15,2,0,0,1,0,0,0,0,0,0,0,3
146,5,1,146_5_1,1,1,42,5,1,5,3,4,0,1,2,1,1,1,0,72,2,1,1,1,0,76,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
379,5,1,379_5_1,1,1,48,5,1,6,4,4,0,1,2,2,2,1,0,73,2,3,2,2,70,0,1,1,1,3,2,1,2,2,18,2,0,0,1,0,0,0,0,0,0,0,3
391,5,1,391_5_1,1,1,72,7,1,4,2,3,0,1,2,1,1,2,70,0,2,2,2,2,75,0,2,2,2,2,1,0,1,2,14,2,0,0,0,0,1,0,0,0,0,0,5
339,2,2,339_2_2,2,2,62,7,1,6,2,2,0,1,2,2,2,2,47,0,2,2,2,2,72,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,1,0,0,0,0,0,5
507,8,1,507_8_1,2,1,56,6,5,4,1,1,0,1,2,3,2,2,30,0,2,3,2,2,70,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,1,0,0,0,0,0,5
381,6,1,381_6_1,1,1,60,6,1,6,2,2,0,1,2,1,1,2,85,0,2,2,2,2,67,0,1,1,1,9,4,2,2,1,22,2,0,0,0,0,0,0,0,1,0,0,8
751,3,7,751_3_7,2,4,64,7,1,6,3,3,0,1,2,2,2,2,85,0,2,2,2,2,90,0,1,1,1,4,2,0,1,1,16,2,0,0,0,0,0,0,0,1,0,0,8
601,6,1,601_6_1,1,1,54,6,1,3,1,1,0,1,2,1,1,2,60,0,2,1,1,2,70,0,1,1,1,2,1,0,1,1,14,2,0,0,0,1,0,0,0,0,0,0,4
685,2,1,685_2_1,1,1,45,5,1,4,2,3,0,1,2,3,2,2,60,0,2,3,2,1,0,76,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
624,2,2,624_2_2,2,2,46,5,1,4,1,1,0,1,2,2,2,1,0,69,2,2,2,1,0,74,1,1,1,2,1,0,1,2,14,2,0,0,0,0,1,0,0,0,0,0,5
664,11,1,664_11_1,1,1,74,7,1,2,1,3,0,1,2,1,1,2,67,0,2,1,1,2,78,0,1,1,1,2,1,0,1,2,38,2,0,0,1,0,0,0,0,0,0,0,3
777,2,2,777_2_2,2,2,45,5,1,5,2,3,0,1,2,2,2,2,70,0,2,2,2,2,82,0,1,1,1,9,4,0,1,1,22,2,0,0,0,0,0,1,0,0,0,0,6
751,5,1,751_5_1,2,1,76,8,5,1,1,5,0,1,2,1,1,2,82,0,2,5,3,2,40,0,1,1,1,9,4,0,1,1,22,2,0,0,0,1,0,0,0,0,0,0,4
322,11,1,322_11_1,2,1,70,7,5,1,1,1,0,1,2,1,1,2,89,0,2,1,1,2,84,0,2,2,2,2,1,0,1,1,13,2,0,0,0,0,1,0,0,0,0,0,5
403,5,2,403_5_2,2,2,54,6,1,4,1,1,0,1,2,2,2,1,0,80,2,2,2,2,83,0,1,1,1,2,1,0,1,1,14,2,0,0,0,0,0,1,0,0,0,0,6
803,4,1,803_4_1,1,1,63,7,1,2,1,1,0,1,2,1,1,2,90,0,2,1,1,2,75,0,1,1,1,2,1,1,2,2,14,2,0,0,0,0,1,0,0,0,0,0,5
145,2,1,145_2_1,1,1,65,7,1,4,1,1,0,1,2,1,1,2,63,0,2,1,1,2,60,0,1,1,1,2,1,1,2,1,14,2,0,0,0,0,1,0,0,0,0,0,5
392,4,1,392_4_1,1,1,51,6,1,5,2,3,0,1,2,2,2,1,0,75,2,2,2,1,0,81,1,1,1,3,2,1,2,2,18,2,0,0,0,0,1,0,0,0,0,0,5
59,6,1,59_6_1,2,1,62,7,5,3,1,1,0,1,2,3,2,2,70,0,2,2,2,2,79,0,1,1,1,1,1,1,2,1,11,2,0,0,1,0,0,0,0,0,0,0,3
829,8,2,829_8_2,2,2,41,5,1,4,2,3,0,1,2,3,2,2,70,0,2,3,2,1,0,72,1,1,1,9,4,0,1,1,22,2,0,0,0,0,0,1,0,0,0,0,6
270,4,2,270_4_2,2,2,50,5,1,3,2,3,0,1,2,3,2,1,0,81,2,3,2,2,54,0,1,1,1,2,1,0,1,2,14,2,0,0,0,0,0,1,0,0,0,0,6
63,8,1,63_8_1,2,1,68,7,5,1,1,1,0,1,2,1,1,2,67,0,2,1,1,2,70,0,2,2,2,0,1,0,1,2,9,2,0,0,0,0,1,0,0,0,0,0,5
371,11,1,371_11_1,1,1,30,2,1,4,2,3,0,1,2,2,2,1,0,68,2,2,2,2,53,0,1,1,1,3,2,1,2,2,18,2,0,0,0,0,0,0,0,0,1,0,9
301,10,1,301_10_1,1,1,59,6,1,5,2,3,0,1,2,2,2,2,68,0,2,3,2,2,85,0,1,1,1,3,2,2,2,1,18,2,0,0,0,1,0,0,0,0,0,0,4
286,8,2,286_8_2,2,1,39,4,1,3,2,3,0,1,2,2,2,1,0,60,2,2,2,1,0,65,1,1,1,2,1,0,1,1,14,2,0,0,0,0,0,0,1,0,0,0,7
333,2,1,333_2_1,1,1,71,7,1,5,2,3,0,1,2,2,2,2,96,0,2,2,2,2,84,0,1,1,1,3,2,2,2,1,18,2,0,0,0,0,1,0,0,0,0,0,5
121,2,1,121_2_1,1,1,55,6,1,6,1,1,0,1,2,2,2,2,73,0,2,2,2,2,81,0,1,1,1,9,4,1,2,1,22,2,0,0,0,0,1,0,0,0,0,0,5
284,8,1,284_8_1,2,1,67,7,5,1,1,1,0,1,2,2,2,2,81,0,2,2,2,2,50,0,1,1,1,2,1,0,1,2,13,2,0,0,0,0,0,1,0,0,0,0,6
648,7,1,648_7_1,2,1,48,5,3,4,2,3,0,1,2,7,4,1,0,60,2,5,3,2,50,0,1,1,1,3,2,3,2,1,18,2,0,0,0,0,1,0,0,0,0,0,5
67,10,1,67_10_1,1,1,42,5,1,4,2,3,0,1,2,5,3,2,25,0,2,9,4,1,0,63,1,1,1,3,2,0,1,1,18,2,0,1,0,0,0,0,0,0,0,0,2
585,2,1,585_2_1,2,1,77,8,5,1,1,5,0,1,2,2,2,2,80,0,2,2,2,2,85,0,2,2,2,1,1,1,2,1,10,2,0,0,0,0,1,0,0,0,0,0,5
147,9,1,147_9_1,1,1,72,7,1,6,2,3,0,1,2,1,1,2,90,0,2,1,1,2,65,0,1,1,1,1,1,1,2,1,10,2,0,0,0,0,1,0,0,0,0,0,5
519,2,1,519_2_1,1,1,56,6,1,2,1,1,0,1,2,3,2,1,0,75,2,3,2,2,80,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,1,0,0,0,0,0,5
496,8,1,496_8_1,1,1,52,6,1,3,1,1,0,1,2,2,2,1,0,84,2,1,1,2,69,0,1,1,1,3,2,0,1,2,18,2,0,0,0,0,0,0,0,1,0,0,8
733,8,1,733_8_1,2,1,26,2,2,3,2,4,0,1,2,7,4,1,0,55,2,9,4,1,0,58,1,1,1,2,1,0,1,1,14,2,0,1,0,0,0,0,0,0,0,0,2
619,5,1,619_5_1,1,1,52,6,1,6,2,3,0,1,2,4,2,1,0,83,2,4,2,2,58,0,1,1,1,2,1,0,1,1,14,2,0,0,0,0,0,0,1,0,0,0,7
551,5,1,551_5_1,1,1,69,7,1,2,1,1,0,1,2,2,2,2,83,0,2,7,4,2,62,0,1,1,1,3,2,0,1,2,18,2,0,0,0,1,0,0,0,0,0,0,4
474,1,1,474_1_1,1,1,42,5,1,4,2,3,0,1,2,2,2,1,0,70,2,2,2,1,0,75,1,1,1,9,4,1,2,1,22,2,0,0,0,0,0,0,1,0,0,0,7
530,7,1,530_7_1,1,1,52,6,1,4,2,2,0,1,2,1,1,2,76,0,2,1,1,2,81,0,1,1,1,5,3,0,1,1,17,2,0,0,0,0,0,0,1,0,0,0,7
8,7,1,8_7_1,1,1,70,7,1,2,1,1,0,1,2,1,1,2,87,0,2,1,1,2,75,0,1,1,1,1,1,1,2,1,10,2,0,0,0,1,0,0,0,0,0,0,4
146,3,1,146_3_1,1,1,52,6,1,4,2,3,0,1,2,1,1,2,74,0,2,1,1,2,87,0,1,1,1,6,3,1,2,1,18,2,0,0,0,0,1,0,0,0,0,0,5
396,5,1,396_5_1,1,1,75,7,1,4,2,3,0,1,2,1,1,2,95,0,2,1,1,2,64,0,2,2,2,1,1,1,2,1,10,2,0,1,0,0,0,0,0,0,0,0,2
814,8,2,814_8_2,2,2,66,7,1,2,1,3,0,1,2,1,1,2,79,0,2,1,1,2,45,0,2,2,2,1,1,0,1,2,10,2,0,1,0,0,0,0,0,0,0,0,2
490,11,1,490_11_1,1,1,74,7,1,2,1,5,0,1,2,1,1,2,80,0,2,1,1,2,78,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,0,0,1,0,0,0,7
60,2,1,60_2_1,1,1,60,6,1,3,1,1,0,1,2,1,1,1,0,80,2,1,1,2,70,0,1,1,1,3,2,0,1,1,18,2,0,0,0,1,0,0,0,0,0,0,4
738,8,2,738_8_2,2,2,76,8,1,2,1,5,0,1,2,1,1,2,92,0,2,1,1,2,87,0,1,1,1,9,4,0,1,1,22,2,0,0,1,0,0,0,0,0,0,0,3
4,10,1,4_10_1,1,1,63,7,1,2,1,1,0,1,2,9,4,2,62,0,2,10,4,2,70,0,1,1,1,1,1,1,2,1,12,2,0,0,0,0,0,0,1,0,0,0,7
33,9,1,33_9_1,1,1,36,4,1,6,3,3,0,1,1,2,2,1,0,68,1,1,1,1,0,69,1,1,1,2,1,0,1,1,14,2,0,1,0,0,0,0,0,0,0,0,2
465,5,1,465_5_1,1,1,45,5,1,4,2,3,0,1,2,2,2,1,0,76,2,2,2,2,73,0,1,1,1,3,2,1,2,1,18,2,0,0,0,1,0,0,0,0,0,0,4
648,11,2,648_11_2,2,2,51,6,1,4,1,1,0,1,2,2,2,1,0,80,2,2,2,2,69,0,1,1,1,2,1,0,1,1,14,2,0,0,0,0,0,1,0,0,0,0,6
131,11,2,131_11_2,2,2,69,7,1,6,2,3,0,1,2,2,2,2,84,0,2,2,2,2,60,0,1,1,1,2,1,0,1,2,14,2,0,1,0,0,0,0,0,0,0,0,2
367,11,1,367_11_1,1,1,55,6,1,6,2,3,0,1,2,2,2,2,75,0,2,2,2,2,85,0,1,1,1,3,2,2,2,2,18,2,0,0,0,0,1,0,0,0,0,0,5
30,2,1,30_2_1,1,1,39,4,1,4,2,3,4,3,2,2,2,1,0,63,2,3,2,2,67,0,1,1,1,2,1,1,2,1,14,2,0,1,0,0,0,0,0,0,0,0,2
29,7,1,29_7_1,1,1,77,8,5,5,2,4,0,1,2,1,1,2,70,0,2,1,1,2,36,0,2,2,2,1,1,1,2,1,10,2,0,0,1,0,0,0,0,0,0,0,3
364,5,1,364_5_1,1,1,52,6,1,4,1,1,0,1,2,2,2,1,0,73,2,2,2,2,84,0,1,1,1,2,1,0,1,2,14,2,0,0,0,1,0,0,0,0,0,0,4
190,4,1,190_4_1,1,1,66,7,1,2,1,1,0,1,2,1,1,2,90,0,2,1,1,2,63,0,1,1,1,1,1,0,1,1,10,2,0,0,0,0,0,1,0,0,0,0,6
3,3,1,3_3_1,1,1,45,5,6,2,1,3,0,1,1,3,2,1,0,72,2,10,4,2,65,0,1,1,1,5,3,0,1,2,18,2,0,0,0,1,0,0,0,0,0,0,4
13,1,1,13_1_1,1,1,51,6,1,4,2,2,0,1,2,2,2,2,70,0,2,2,2,2,60,0,1,1,1,9,4,4,2,1,22,2,0,0,0,0,0,0,1,0,0,0,7
454,4,1,454_4_1,1,1,68,7,1,6,2,3,0,1,2,1,1,2,78,0,2,1,1,2,50,0,1,1,1,1,1,0,1,1,10,2,0,0,0,0,0,0,1,0,0,0,7
800,5,1,800_5_1,1,1,57,6,1,4,2,2,0,1,2,1,1,1,0,81,2,1,1,2,85,0,1,1,1,2,1,0,1,2,15,2,0,0,1,0,0,0,0,0,0,0,3
190,1,1,190_1_1,1,1,57,6,1,3,1,1,0,1,2,2,2,1,0,77,2,2,2,2,63,0,1,1,1,2,1,0,1,1,14,2,0,0,0,0,0,1,0,0,0,0,6
624,4,2,624_4_2,2,2,37,4,1,6,3,4,0,1,2,3,2,1,0,66,2,3,2,1,0,69,1,1,1,2,1,0,1,2,14,2,0,0,0,0,1,0,0,0,0,0,5
699,7,1,699_7_1,1,1,43,5,1,4,2,3,0,1,2,3,2,1,0,76,2,1,1,1,0,82,1,1,1,3,2,0,1,1,18,2,0,0,0,0,1,0,0,0,0,0,5
353,6,1,353_6_1,1,1,66,7,1,2,1,1,0,1,2,1,1,2,66,0,2,1,1,2,76,0,2,2,2,1,1,0,1,1,10,2,0,0,0,0,1,0,0,0,0,0,5
593,4,1,593_4_1,1,1,42,5,1,2,1,1,0,1,2,3,2,1,0,63,2,3,2,1,0,71,1,1,1,2,1,0,1,2,15,2,0,0,0,0,1,0,0,0,0,0,5
739,2,1,739_2_1,1,1,52,6,1,6,4,4,0,1,2,2,2,1,0,64,2,2,2,1,0,70,1,1,1,5,3,0,1,1,17,2,0,0,0,1,0,0,0,0,0,0,4
741,4,2,741_4_2,2,2,42,5,1,6,3,4,0,1,2,2,2,1,0,78,2,2,2,2,76,0,1,1,1,3,2,0,1,2,18,2,0,0,0,0,0,1,0,0,0,0,6
