literate,attended_school,highest_school_lvl,preschool,finish_school_age,school_transportation_time,school_transportation_cost,school_expenses,is_student,not_attend_reason1_2.0,not_attend_reason1_3.0,not_attend_reason1_4.0,not_attend_reason1_5.0,not_attend_reason1_7.0,not_attend_reason1_8.0,not_attend_reason1_10.0,not_attend_reason1_11.0,not_attend_reason1_12.0,not_attend_reason1_13.0,not_attend_reason1_14.0,not_attend_reason2_2.0,not_attend_reason2_3.0,not_attend_reason2_4.0,not_attend_reason2_5.0,not_attend_reason2_7.0,not_attend_reason2_8.0,not_attend_reason2_10.0,not_attend_reason2_11.0,not_attend_reason2_12.0,not_attend_reason2_13.0,not_attend_reason2_14.0,school_type_2,school_type_3,transport_2,transport_3,transport_4,fam_role_2,fam_role_3,fam_role_4,fam_role_5,fam_role_6,fam_role_7,fam_role_8,fam_role_9,fam_role_10,fam_role_11,fam_role_12,fam_role_13,fam_role_14,marital_status_2,marital_status_3,marital_status_4,marital_status_5,sex,age,time_away,lives_with_partner,lives_with_parent,parents_education,num_parents_alive
True,1,5.0,3.0,16.04,105.0,60000.0,2660000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,5.0,2.0,16.04,30.0,12000.0,1150000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,False,5.0,2
True,1,2.0,3.0,16.04,15.0,0.0,110000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20,0,False,False,3.0,2
True,1,5.0,3.0,16.04,30.0,15000.0,204000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,20,0,False,True,2.19,0
True,1,5.0,0.0,16.04,75.0,0.0,100000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,5.0,2.0,16.04,20.0,0.0,710000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20,0,False,True,2.19,0
True,1,2.0,0.0,16.04,40.0,0.0,90000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,5.0,2.0,16.04,20.0,0.0,270000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,0,False,True,2.19,0
True,1,5.0,2.0,16.04,30.0,20000.0,300000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,0,False,True,2.19,0
True,1,5.0,2.0,16.04,10.0,0.0,200000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21,0,False,True,2.19,0
True,1,5.0,0.0,16.04,45.0,30000.0,550000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,21,0,False,True,2.19,0
True,1,5.0,3.0,16.04,40.0,100000.0,270000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,21,0,False,True,2.19,0
True,1,5.0,3.0,16.04,10.0,0.0,800000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,22,0,False,True,2.19,0
True,1,5.0,0.0,16.04,60.0,100000.0,200000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,22,0,False,True,2.19,0
True,1,5.0,2.0,16.04,15.0,0.0,2600000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,23,6,False,False,5.0,2
True,1,5.0,1.0,16.04,20.0,20000.0,350000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,23,0,False,True,2.19,0
True,1,5.0,3.0,16.04,40.0,0.0,2468000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,0,False,True,2.19,0
True,1,6.0,0.0,16.04,45.0,0.0,2500000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,0,False,False,5.0,2
True,1,6.0,2.0,16.04,15.0,60000.0,1000000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,24,0,True,False,4.5,2
True,1,5.0,3.0,16.04,10.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,0,False,False,2.5,2
True,1,5.0,3.0,16.04,30.0,50000.0,230000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,24,0,True,False,5.0,2
True,1,6.0,3.0,16.04,30.0,100000.0,880000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,0,False,True,2.19,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,24,0,False,False,1.0,0
True,1,6.0,0.0,16.04,30.0,24000.0,1967000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,24,0,False,False,3.0,1
True,1,6.0,2.0,16.04,10.0,0.0,760000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,0,False,True,2.19,0
True,1,5.0,2.0,16.04,40.0,200000.0,3300000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,25,0,False,False,5.0,2
True,1,5.0,0.0,16.04,30.0,12000.0,800000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,25,0,False,False,3.0,2
True,1,5.0,0.0,16.04,330.0,0.0,420000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,27,0,False,True,2.19,0
True,1,5.0,0.0,16.04,60.0,100000.0,500000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,30,0,False,False,3.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,30,0,False,True,2.19,0
True,1,6.0,2.0,16.04,30.0,0.0,405000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,31,0,True,False,7.0,2
True,1,5.0,0.0,16.04,5.0,0.0,100000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31,0,True,False,3.0,2
True,1,5.0,0.0,16.04,15.0,0.0,900000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,32,0,True,False,1.0,1
True,1,2.0,0.0,16.04,40.0,100000.0,40000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,0,True,False,3.0,2
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,35,0,True,True,2.19,0
True,1,5.0,0.0,16.04,240.0,40000.0,91000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35,0,True,False,3.0,0
True,1,7.0,0.0,16.04,150.0,12000.0,1000000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,36,0,True,False,5.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,36,0,True,True,2.19,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,37,12,False,False,1.0,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39,0,True,False,2.0,2
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,39,0,False,False,4.5,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,True,False,1.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40,0,True,False,3.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,41,0,True,False,2.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,41,0,False,False,2.0,2
True,1,5.0,0.0,16.04,6.0,0.0,660000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,42,0,True,False,3.5,1
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,42,0,True,True,2.19,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,42,0,True,False,2.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,42,0,False,False,1.5,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,43,0,True,True,2.19,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,44,0,True,False,10.0,1
True,1,5.0,0.0,16.04,120.0,30000.0,105000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,0,True,False,3.0,0
True,1,2.0,3.0,16.04,10.0,0.0,60000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44,0,False,False,2.0,2
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45,0,True,False,2.0,1
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,45,0,True,False,2.5,2
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,45,0,True,False,3.0,2
True,1,5.0,3.0,16.04,20.0,0.0,550000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,0,True,False,3.0,2
True,1,5.0,2.0,16.04,20.0,0.0,500000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,0,True,False,3.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45,0,True,False,1.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47,0,False,True,2.19,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,48,0,True,False,2.5,1
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,48,9,True,False,2.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48,0,False,False,1.0,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50,0,False,False,1.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,True,False,2.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50,0,True,False,1.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,51,0,True,False,1.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,52,0,True,False,1.0,1
True,1,5.0,0.0,16.04,35.0,56000.0,4146000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,53,0,True,False,1.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,53,0,True,False,2.0,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,53,0,True,True,2.19,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,53,0,True,False,3.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,53,0,False,True,2.19,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,0,True,False,1.5,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,55,0,True,False,3.0,2
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56,0,True,False,3.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56,0,True,False,1.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,57,0,False,False,1.0,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57,3,False,False,2.5,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,0,False,False,1.0,0
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,0,True,False,3.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,59,0,True,False,1.0,2
True,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,59,0,False,False,1.0,1
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,59,0,True,False,1.0,0
False,2,2.0,0.0,16.04,39.0,0.0,754438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60,0,False,False,1.0,1
