read,write,attended_school,highest_diploma,preschool,lives_with_partner,lives_with_mother,mother_education,mother_alive,lives_with_father,father_education,father_alive,age,male,not_enrolled_for_economic_reasons,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,family_role_1,family_role_2,family_role_3,family_role_4,family_role_6,family_role_7,family_role_8,family_role_9,family_role_10
True,True,True,7,3,False,False,11,False,False,11,False,22,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,True,3,False,22,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,7,2,False,True,5,True,True,5,True,23,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,7,1,False,False,11,False,False,11,False,23,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,7,3,False,False,11,False,True,5,False,23,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,7,0,False,True,5,True,True,5,True,23,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,7,2,True,True,4,True,True,5,True,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,3,False,True,2,True,True,3,True,24,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,3,True,True,5,True,True,5,True,24,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,10,3,False,False,11,False,False,11,False,24,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,24,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,True,True,7,0,False,True,3,True,True,3,False,24,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,7,2,False,False,11,False,False,11,False,25,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,2,False,True,5,True,True,5,True,25,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,0,False,True,3,True,True,3,True,25,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,27,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,True,3,True,True,3,True,30,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,False,11,False,True,1,False,30,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,9,2,True,True,5,True,True,9,True,31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,True,9,0,True,True,3,True,True,3,True,31,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,True,3,0,True,True,1,True,True,1,False,32,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,3,True,True,3,True,32,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,0,0,True,False,11,False,True,2,False,35,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,3,False,True,3,False,35,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,9,0,True,True,5,True,True,5,True,36,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,0,0,True,False,11,False,True,1,False,36,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,1,False,True,1,False,37,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,2,True,True,2,True,39,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,0,0,False,True,2,False,True,7,False,39,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,False,False,0,0,True,True,1,True,True,1,False,40,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,3,True,True,3,True,40,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,0,0,True,True,2,True,True,2,False,41,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,2,True,True,2,True,41,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,2,False,True,5,True,42,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,False,11,False,True,2,False,42,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,3,True,True,1,True,42,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,2,True,True,1,True,42,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,False,11,False,True,1,False,43,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,0,0,True,True,10,True,True,10,False,44,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,3,False,True,3,False,44,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,3,False,True,2,True,True,2,True,44,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,2,True,True,2,False,45,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,3,True,True,2,True,45,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,3,True,True,3,True,45,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,6,3,True,True,3,True,True,3,True,45,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,2,True,True,3,True,True,3,True,45,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,45,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,False,11,False,True,2,False,47,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,2,True,True,3,False,48,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,2,True,True,2,False,48,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,48,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,1,True,True,1,True,50,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,0,0,True,True,2,False,True,2,False,50,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,0,0,True,True,1,False,True,1,False,50,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,True,51,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,True,True,1,False,52,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,1,False,True,1,False,53,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,2,False,53,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,False,11,False,True,2,False,53,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,3,True,True,3,True,53,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,False,11,False,True,1,False,53,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,1,False,54,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,0,0,True,True,3,True,True,3,True,55,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,3,True,True,3,False,56,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,56,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,57,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,3,False,True,2,False,57,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,58,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,3,False,True,3,False,58,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,True,True,1,True,59,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,1,True,True,1,False,59,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,0,0,True,True,1,False,True,1,False,59,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,True,True,1,False,60,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,10,False,True,10,False,60,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,2,False,True,10,False,60,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,3,False,True,3,False,60,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,2,False,60,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,10,False,True,10,False,60,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,0,0,False,True,3,False,True,3,False,60,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,3,True,True,2,False,60,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,10,False,61,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,61,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,1,True,True,1,True,62,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,63,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,True,True,1,False,63,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,1,False,True,1,False,63,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,63,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,64,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,0,0,False,True,2,False,True,2,False,64,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,4,False,True,9,False,64,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,0,0,True,True,1,False,True,1,False,65,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,3,True,65,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,66,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,66,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,67,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,67,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,67,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,1,False,67,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,4,False,67,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,68,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,68,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,0,0,True,True,1,False,True,1,False,68,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,68,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,0,0,False,True,1,False,True,1,False,68,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,68,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,68,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,0,0,True,True,10,False,True,10,False,70,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,70,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,71,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,71,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,1,False,71,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,71,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,71,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,72,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,72,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
False,False,False,0,0,True,True,1,False,True,2,False,73,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,10,False,True,2,False,73,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,73,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,74,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,1,False,True,1,False,74,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,2,False,True,2,False,75,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,75,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,75,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,75,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,2,False,76,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,76,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,0,0,True,True,10,False,True,10,False,76,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,76,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,76,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,76,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,77,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,77,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,78,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,78,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,2,False,True,1,False,78,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,78,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,78,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,79,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,80,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,80,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,80,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,3,False,80,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,80,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,80,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,True,True,10,False,True,5,False,81,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,81,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,2,False,81,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,82,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
True,True,False,0,0,False,True,2,False,True,3,False,82,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,82,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,82,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,82,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,82,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,84,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,84,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,2,False,85,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,85,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,85,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,2,False,True,2,False,85,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,87,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,0,0,False,True,2,False,True,2,False,87,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,88,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,2,False,89,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,90,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,90,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,True,True,1,False,True,1,False,91,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,0,0,False,True,1,False,True,1,False,94,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,False,False,11,False,False,11,False,15,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,0,False,False,11,False,True,10,False,16,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,False,True,2,1,False,False,11,False,False,11,False,16,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,1,False,False,11,False,False,11,False,16,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,1,False,False,11,False,False,11,False,17,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,1,False,False,11,False,False,11,False,18,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,18,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,0,False,False,11,False,False,11,False,19,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,True,True,3,True,True,2,True,18,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,1,False,True,5,True,False,11,False,18,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,6,0,False,True,3,True,True,4,False,18,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
True,True,True,2,0,True,True,3,True,True,3,True,25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,2,0,False,True,2,False,True,2,False,25,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,1,False,False,11,False,False,11,False,25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,True,True,3,True,True,3,True,25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,2,2,False,False,11,False,True,1,False,26,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,3,True,True,3,True,26,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,2,True,True,2,True,26,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,2,0,True,True,3,True,True,3,True,27,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,2,True,True,2,True,True,2,True,27,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,True,2,1,True,False,11,False,False,11,False,27,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,2,True,True,2,True,27,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,False,True,1,True,True,1,True,27,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,9,2,True,True,3,True,True,1,True,27,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,True,2,0,False,False,11,False,False,11,False,28,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,3,True,True,3,True,28,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,3,True,True,5,True,True,3,True,28,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,2,2,True,True,4,True,True,4,True,28,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,4,0,False,False,11,False,True,5,False,28,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,0,True,True,2,True,True,2,True,28,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,3,0,True,True,3,True,True,3,False,28,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,28,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,True,True,2,True,True,2,True,28,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,0,True,False,11,False,True,2,False,28,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,1,True,True,2,True,29,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,3,True,False,11,False,False,11,False,29,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,True,2,0,True,True,2,False,True,1,False,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,1,True,True,1,True,True,1,True,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,2,True,True,2,True,True,2,True,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,2,True,True,2,True,29,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,True,2,0,True,True,3,True,True,4,False,29,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,0,True,True,3,True,True,9,True,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,2,True,True,2,True,29,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,3,0,True,True,3,True,True,4,True,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,9,1,True,True,3,True,True,3,True,29,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,2,0,True,True,10,True,True,10,True,30,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
