uid,HH_Hhid,HH_Q02,HH_Q03,HH_Q04,HH_Q05y,HH_Q05m,HH_Q06,HH_Q07,HH_Q08,HH_Q09,HH_Q10,HH_Q11,HH_Q12,HH_Q13,HH_Q14,HH_Q15,HH_Q16,HH_Q17,HH_Q18,HH_Q19,HH_Q20,HH_Q21,HH_Q22,poverty_score
11_6_1,1106,1,1,19511208,60,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,94.0,,2,,1.0,2.0,92.0,,4.0
11_7_1,1107,1,1,19730701,39,2,1.0,1.0,2.0,0,1,1,6.0,,,,,1,5.0,,,,,4.0
11_8_2,1108,1,4,19870727,25,1,5.0,,,0,1,2,,3.0,2.0,37.0,,1,1.0,,,,,3.0
12_1_1,1201,2,1,19540423,58,5,4.0,,,0,1,2,,1.0,1.0,,83.0,2,,1.0,2.0,71.0,,3.0
12_2_2,1202,2,2,19480425,64,5,1.0,1.0,1.0,0,1,2,,1.0,2.0,68.0,,2,,1.0,2.0,65.0,,7.0
12_3_1,1203,1,1,19820313,30,6,1.0,1.0,2.0,0,1,2,,3.0,2.0,58.0,,2,,2.0,2.0,56.0,,2.0
12_4_3,1204,1,4,19850330,27,5,1.0,1.0,4.0,0,1,1,2.0,,,,,1,1.0,,,,,3.0
12_5_2,1205,2,2,19450511,67,4,1.0,1.0,1.0,0,1,2,,1.0,2.0,65.0,,2,,1.0,2.0,90.0,,3.0
12_6_1,1206,1,1,19621222,49,9,4.0,,,0,1,2,,1.0,2.0,63.0,,1,2.0,,,,,5.0
12_8_2,1208,2,2,19541230,57,8,1.0,1.0,1.0,0,1,2,,3.0,2.0,62.0,,2,,3.0,2.0,59.0,,4.0
13_1_1,1301,1,1,19610220,51,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,70.0,,2,,2.0,2.0,60.0,,7.0
13_2_1,1302,1,1,19551221,56,8,1.0,1.0,2.0,0,1,2,,1.0,2.0,84.0,,2,,1.0,2.0,65.0,,8.0
13_4_1,1304,1,1,19620119,50,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,80.0,,2.0
13_6_1,1306,2,1,19700709,42,2,4.0,,,0,1,2,,3.0,2.0,47.0,,2,,2.0,1.0,,68.0,4.0
13_7_1,1307,1,1,19580808,54,0,1.0,1.0,2.0,0,1,2,,3.0,1.0,,81.0,2,,2.0,2.0,80.0,,6.0
13_8_2,1308,2,2,19711022,40,10,1.0,1.0,1.0,0,1,2,,3.0,2.0,59.0,,2,,3.0,2.0,57.0,,5.0
13_9_1,1309,1,1,19470214,65,6,1.0,1.0,2.0,0,1,2,,2.0,2.0,75.0,,2,,1.0,2.0,60.0,,3.0
14_1_1,1401,1,1,19300405,82,5,1.0,1.0,2.0,0,1,2,,2.0,2.0,83.0,,2,,2.0,2.0,97.0,,8.0
14_2_1,1402,1,1,19620731,50,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,74.0,,2,,2.0,2.0,75.0,,3.0
14_4_1,1404,1,1,19570420,55,5,1.0,1.0,3.0,0,1,1,2.0,,,,,2,,3.0,2.0,82.0,,7.0
14_5_2,1405,2,2,19680130,44,8,1.0,1.0,1.0,0,1,2,,3.0,2.0,78.0,,2,,3.0,2.0,74.0,,4.0
14_6_1,1406,1,1,19400217,72,8,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,80.0,,7.0
14_7_1,1407,1,1,19380303,74,7,1.0,1.0,2.0,0,1,2,,3.0,2.0,66.0,,2,,5.0,2.0,49.0,,6.0
14_8_1,1408,1,1,19720206,40,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,68.0,,2,,2.0,2.0,61.0,,5.0
14_9_1,1409,1,1,19760229,36,7,1.0,1.0,2.0,0,1,2,,5.0,1.0,,65.0,2,,5.0,2.0,65.0,,5.0
15_2_1,1502,2,1,19500307,62,5,4.0,,,0,1,2,,2.0,1.0,,87.0,2,,2.0,2.0,50.0,,3.0
15_3_1,1503,1,1,19540126,58,7,1.0,1.0,2.0,0,1,2,,10.0,2.0,63.0,,2,,10.0,2.0,74.0,,3.0
15_7_4,1507,2,9,19891120,22,9,1.0,1.0,3.0,0,1,2,,2.0,1.0,,50.0,2,,2.0,1.0,,60.0,4.0
15_10_4,1510,2,9,19820219,30,6,1.0,1.0,3.0,0,1,2,,3.0,1.0,,58.0,2,,3.0,1.0,,65.0,3.0
16_1_1,1601,2,1,19360307,76,7,4.0,,,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,65.0,,4.0
16_2_2,1602,2,2,19660212,46,7,1.0,1.0,1.0,0,1,2,,2.0,1.0,,70.0,2,,2.0,1.0,,73.0,5.0
16_3_1,1603,1,1,19400503,72,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,38.0,,6.0
16_4_2,1604,2,2,19510603,61,3,1.0,1.0,1.0,0,1,2,,8.0,2.0,67.0,,2,,3.0,2.0,71.0,,8.0
16_5_1,1605,1,1,19631124,48,9,2.0,2.0,,0,1,1,2.0,,,,,2,,2.0,2.0,70.0,,2.0
17_1_1,1701,1,1,19781006,33,10,2.0,2.0,,0,1,2,,3.0,2.0,60.0,,2,,6.0,1.0,,70.0,2.0
17_2_1,1702,1,1,19520426,60,4,1.0,1.0,2.0,0,1,2,,2.0,2.0,60.0,,2,,1.0,2.0,70.0,,3.0
17_4_1,1704,1,1,19831214,28,8,1.0,1.0,2.0,0,1,2,,3.0,1.0,,57.0,2,,3.0,1.0,,59.0,6.0
17_5_1,1705,1,1,19380509,74,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,60.0,,2,,1.0,2.0,70.0,,6.0
17_7_1,1707,1,1,19570530,55,3,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,2.0,2.0,68.0,,6.0
17_8_2,1708,2,2,19700927,41,11,1.0,1.0,1.0,0,1,2,,3.0,1.0,,60.0,2,,5.0,1.0,,64.0,5.0
18_1_1,1801,1,1,19550120,57,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,93.0,,2,,1.0,2.0,45.0,,2.0
18_3_2,1803,2,2,19580530,54,3,1.0,1.0,1.0,0,1,2,,2.0,2.0,69.0,,2,,2.0,1.0,,70.0,6.0
18_4_1,1804,1,1,19650814,47,0,1.0,1.0,2.0,3,1,2,,2.0,1.0,,70.0,2,,2.0,1.0,,78.0,8.0
18_5_1,1805,2,1,19220908,89,11,4.0,,,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,87.0,,5.0
18_6_1,1806,2,1,19470226,65,6,4.0,,,0,1,2,,1.0,2.0,68.0,,2,,1.0,2.0,70.0,,4.0
18_7_1,1807,1,1,19500401,62,5,1.0,1.0,2.0,0,1,1,9.0,,,,,1,8.0,,,,,7.0
19_1_1,1901,1,1,19571202,54,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,90.0,,2,,1.0,2.0,70.0,,4.0
19_2_1,1902,1,1,19580202,54,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,89.0,,2,,2.0,2.0,84.0,,3.0
19_4_1,1904,1,1,19510215,61,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,85.0,,2,,2.0,2.0,92.0,,5.0
19_5_1,1905,1,1,19330615,79,2,1.0,1.0,2.0,0,1,2,,1.0,2.0,76.0,,2,,1.0,2.0,72.0,,4.0
19_6_1,1906,1,1,19380323,74,5,4.0,,,1,1,2,,2.0,2.0,95.0,,2,,2.0,2.0,85.0,,4.0
19_7_2,1907,2,1,19680510,44,3,1.0,1.0,1.0,0,1,2,,3.0,1.0,,63.0,2,,3.0,1.0,,70.0,3.0
19_9_1,1909,1,1,19490101,63,8,1.0,1.0,2.0,0,1,2,,1.0,1.0,,88.0,2,,1.0,2.0,74.0,,3.0
20_1_1,2001,1,1,19350214,77,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,84.0,,3.0
20_2_1,2002,1,1,19600525,52,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,85.0,,2,,1.0,2.0,50.0,,5.0
20_4_1,2004,1,1,19540228,58,6,1.0,1.0,2.0,0,1,1,3.0,,,,,2,,1.0,2.0,87.0,,3.0
20_6_1,2006,1,1,19540715,58,2,1.0,1.0,2.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,68.0,,5.0
20_7_1,2007,1,1,19330915,79,0,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,80.0,,3.0
20_8_1,2008,1,1,19540228,58,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,75.0,2,,2.0,2.0,73.0,,3.0
20_9_1,2009,1,1,19470920,64,11,1.0,1.0,2.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,55.0,,3.0
21_3_1,2103,1,1,19820531,30,3,1.0,1.0,2.0,0,1,2,,2.0,1.0,,60.0,2,,2.0,1.0,,68.0,3.0
21_4_1,2104,1,1,19510510,61,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,91.0,,2,,1.0,2.0,73.0,,3.0
21_6_2,2106,2,1,19820413,30,4,1.0,1.0,1.0,0,1,2,,3.0,1.0,,50.0,2,,3.0,1.0,,54.0,3.0
21_7_1,2107,1,1,19661225,45,8,1.0,1.0,2.0,0,1,2,,1.0,1.0,,77.0,2,,1.0,2.0,80.0,,3.0
21_8_1,2108,1,1,19660519,46,3,1.0,1.0,2.0,1,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,80.0,,1.0
22_1_1,2201,1,1,19920105,20,8,1.0,1.0,2.0,0,1,2,,2.0,1.0,,36.0,1,4.0,,,,,2.0
22_2_1,2202,1,1,19380420,74,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,82.0,,1.0
22_3_1,2203,2,1,19410820,71,1,4.0,,,0,1,2,,1.0,2.0,93.0,,2,,1.0,2.0,75.0,,1.0
22_4_1,2204,1,1,19680824,44,0,1.0,1.0,2.0,0,1,2,,2.0,1.0,,60.0,2,,2.0,1.0,,65.0,3.0
22_5_1,2205,1,1,19760320,36,6,1.0,1.0,2.0,0,1,2,,1.0,1.0,,60.0,2,,2.0,1.0,,73.0,2.0
22_6_1,2206,1,1,19560503,56,4,1.0,1.0,2.0,0,1,2,,2.0,1.0,,80.0,2,,1.0,2.0,87.0,,4.0
22_7_1,2207,2,1,19590519,53,4,4.0,,,0,1,2,,1.0,2.0,63.0,,2,,2.0,2.0,70.0,,4.0
22_8_1,2208,1,1,19630322,49,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,84.0,2,,1.0,2.0,70.0,,1.0
23_1_1,2301,1,1,19370512,75,4,1.0,1.0,2.0,0,1,2,,1.0,2.0,50.0,,2,,1.0,2.0,80.0,,3.0
23_3_1,2303,1,1,19500115,62,8,1.0,1.0,2.0,0,1,1,3.0,,,,,2,,2.0,2.0,70.0,,3.0
23_4_1,2304,1,1,19660507,46,4,1.0,1.0,2.0,0,1,2,,2.0,2.0,64.0,,2,,2.0,2.0,73.0,,1.0
23_5_1,2305,1,1,19710415,41,5,1.0,1.0,2.0,0,1,2,,2.0,1.0,,73.0,2,,2.0,2.0,78.0,,4.0
23_6_1,2306,2,1,19320301,80,6,4.0,,,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,76.0,,2.0
23_7_1,2307,1,1,19620314,50,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,80.0,2,,2.0,1.0,,85.0,3.0
23_8_1,2308,1,1,19620525,50,3,1.0,1.0,2.0,0,1,2,,2.0,1.0,,74.0,2,,3.0,1.0,,75.0,2.0
23_9_1,2309,1,1,19490301,63,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,69.0,,2,,1.0,2.0,72.0,,4.0
24_1_1,2401,1,1,19610105,51,8,1.0,1.0,2.0,0,1,2,,2.0,1.0,,72.0,2,,2.0,2.0,59.0,,6.0
24_2_2,2402,2,2,19640520,48,3,1.0,1.0,1.0,0,1,2,,3.0,2.0,58.0,,2,,3.0,1.0,,72.0,4.0
24_3_1,2403,1,1,19580425,54,4,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,75.0,,2.0
24_4_1,2404,1,1,19600505,52,4,1.0,1.0,2.0,0,1,2,,2.0,2.0,65.0,,2,,2.0,2.0,62.0,,4.0
24_5_1,2405,1,1,19300515,82,3,1.0,1.0,2.0,0,1,2,,1.0,2.0,95.0,,2,,2.0,2.0,85.0,,4.0
24_8_1,2408,2,1,19370114,75,7,4.0,,,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,69.0,,3.0
25_1_2,2501,2,2,19761031,35,10,1.0,1.0,1.0,0,1,2,,3.0,1.0,,58.0,2,,7.0,1.0,,61.0,5.0
25_2_1,2502,1,1,19610720,51,1,1.0,1.0,2.0,0,1,2,,2.0,2.0,75.0,,2,,2.0,2.0,50.0,,4.0
25_3_1,2503,1,1,19720917,39,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,72.0,,2,,2.0,2.0,69.0,,4.0
25_4_3,2504,1,4,19920304,20,6,5.0,,,0,1,1,1.0,,,,,2,,3.0,2.0,51.0,,4.0
25_5_1,2505,1,1,19821205,29,8,1.0,1.0,2.0,0,1,2,,3.0,1.0,,53.0,2,,3.0,1.0,,55.0,1.0
25_8_1,2508,1,1,19680324,44,5,1.0,1.0,2.0,0,1,2,,2.0,1.0,,80.0,2,,2.0,2.0,75.0,,7.0
25_9_1,2509,1,1,19650725,47,1,1.0,1.0,2.0,9,1,2,,2.0,1.0,,78.0,2,,2.0,2.0,79.0,,6.0
26_4_1,2604,1,1,19560520,56,3,1.0,1.0,2.0,0,1,2,,2.0,1.0,,76.0,2,,5.0,1.0,,77.0,4.0
26_5_1,2605,1,1,19640810,48,1,1.0,1.0,2.0,0,1,2,,3.0,1.0,,74.0,2,,3.0,1.0,,87.0,5.0
26_6_1,2606,1,1,19580114,54,7,1.0,1.0,2.0,5,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,85.0,,6.0
26_8_1,2608,1,1,19550308,57,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,64.0,,2,,1.0,2.0,67.0,,5.0
27_1_1,2701,1,1,19720909,39,11,1.0,1.0,2.0,0,1,1,3.0,,,,,2,,3.0,2.0,61.0,,3.0
27_2_1,2702,1,1,19590114,53,7,1.0,1.0,2.0,0,1,1,5.0,,,,,2,,3.0,2.0,85.0,,3.0
27_3_1,2703,1,1,19301015,81,10,1.0,1.0,2.0,0,1,2,,2.0,2.0,84.0,,2,,2.0,2.0,85.0,,3.0
27_4_1,2704,1,1,19840222,28,7,1.0,1.0,2.0,0,1,2,,2.0,1.0,,42.0,2,,3.0,1.0,,42.0,6.0
27_5_1,2705,1,1,19711009,40,10,1.0,1.0,2.0,0,1,2,,2.0,1.0,,65.0,2,,7.0,1.0,,64.0,5.0
27_6_1,2706,1,1,19550124,57,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,72.0,,2,,2.0,2.0,78.0,,3.0
27_7_1,2707,1,1,19750308,37,5,1.0,1.0,2.0,0,1,2,,3.0,1.0,,54.0,2,,3.0,1.0,,62.0,2.0
27_8_1,2708,1,1,19730520,39,3,1.0,1.0,2.0,0,1,2,,2.0,2.0,73.0,,2,,2.0,2.0,54.0,,2.0
28_1_1,2801,1,1,19640818,48,0,1.0,1.0,2.0,0,1,2,,1.0,2.0,55.0,,2,,1.0,2.0,70.0,,4.0
28_2_1,2802,1,1,19590620,53,2,1.0,1.0,2.0,0,1,2,,1.0,2.0,63.0,,1,4.0,,,,,4.0
28_3_1,2803,1,1,19580711,54,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,65.0,,6.0
28_4_1,2804,1,1,19520402,60,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,74.0,,2,,1.0,2.0,63.0,,2.0
28_5_1,2805,1,1,19420415,70,4,1.0,2.0,,0,1,2,,1.0,2.0,86.0,,2,,2.0,2.0,61.0,,4.0
28_6_1,2806,1,1,19510801,61,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,85.0,,2,,1.0,2.0,63.0,,3.0
28_7_1,2807,1,1,19620606,50,3,1.0,1.0,2.0,0,1,2,,2.0,2.0,67.0,,2,,1.0,2.0,60.0,,4.0
29_3_1,2903,1,1,19410802,71,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,80.0,,4.0
29_4_1,2904,2,1,19430623,69,2,4.0,,,0,1,2,,1.0,2.0,90.0,,2,,1.0,2.0,70.0,,3.0
29_5_1,2905,1,1,19490703,63,2,1.0,1.0,2.0,0,1,2,,5.0,2.0,70.0,,2,,2.0,2.0,73.0,,3.0
29_6_1,2906,1,1,19750215,37,6,1.0,1.0,2.0,0,1,2,,2.0,1.0,,70.0,2,,3.0,2.0,62.0,,2.0
29_7_1,2907,1,1,19350506,77,3,4.0,,,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,36.0,,3.0
